id,value
engagement KPIs,
engagement KPIs.Adoption,
engagement KPIs.Adoption.Cross-promotion,
engagement KPIs.Adoption.Cross-promotion.# volunteer sign-ups from other sources,1
engagement KPIs.Adoption.Get new users,
engagement KPIs.Adoption.Get new users.New user # / %,1
engagement KPIs.Adoption.Get new users.Page with entrances over cut-off,1
engagement KPIs.Adoption.Get new users.Users migrate from old sites,1
engagement KPIs.Adoption.Micro-conversions,
engagement KPIs.Adoption.Micro-conversions.Email journey sign-ups,1
engagement KPIs.Adoption.Shareable content,
engagement KPIs.Adoption.Shareable content.# shares from page,1
engagement KPIs.Adoption.Shareable content.Non-owned organic social traffic,1
engagement KPIs.Engagement,
engagement KPIs.Engagement.Empathy,
engagement KPIs.Engagement.Empathy.Sentiment_social empathy terms,1
engagement KPIs.Engagement.Leave feedback,
engagement KPIs.Engagement.Leave feedback.Feedback # / %,1
engagement KPIs.Engagement.Leave feedback.Sentiment,1
engagement KPIs.Engagement.Popularity,
engagement KPIs.Engagement.Popularity.Comments #,1
engagement KPIs.Engagement.Popularity.Likes #,1
engagement KPIs.Engagement.Popularity.Shares #,1
engagement KPIs.Engagement.Popularity.Stories with visits over X,1
engagement KPIs.Engagement.Relevance,
engagement KPIs.Engagement.Relevance.Scroll,1
engagement KPIs.Engagement.Relevance.Time on page,1
engagement KPIs.Engagement.Relevance.Time spent reading over threshold,1
engagement KPIs.Engagement.Relevance.Video plays,1
engagement KPIs.Engagement.Stickiness,
engagement KPIs.Engagement.Stickiness.Bounce rate (negative),1
engagement KPIs.Engagement.Stickiness.Click # / % on related content,1
engagement KPIs.Engagement.Stickiness.Clicks on CTA,1
engagement KPIs.Engagement.Stickiness.Pages per session,1
engagement KPIs.Engagement.Stickiness.Rich content engagement (eg quizzes),1
engagement KPIs.Engagement.Stickiness.Time on site,1
engagement KPIs.Engagement.Trust,
engagement KPIs.Engagement.Trust.Social listening for sentiment,1
engagement KPIs.Happiness,
engagement KPIs.Happiness.Being informed / learning,
engagement KPIs.Happiness.Being informed / learning.Quiz success,1
engagement KPIs.Happiness.Delight,
engagement KPIs.Happiness.Delight.Sentiment_social delight terms,1
engagement KPIs.Happiness.Delight.Survey responses: feeling good/useful,1
engagement KPIs.Happiness.Ease of use / smooth,
engagement KPIs.Happiness.Ease of use / smooth.Completion time,1
engagement KPIs.Happiness.Ease of use / smooth.Conversion % (negative),1
engagement KPIs.Happiness.Ease of use / smooth.Funnels,1
engagement KPIs.Happiness.Ease of use / smooth.Happy path completion %,1
engagement KPIs.Happiness.Ease of use / smooth.Survey responses,1
engagement KPIs.Happiness.Leave feedback,
"engagement KPIs.Happiness.Leave feedback.""Did you find this page useful?""",1
engagement KPIs.Happiness.Leave feedback.Complaint # / % (negative),1
engagement KPIs.Happiness.Leave feedback.Mood clicks (happy face),1
engagement KPIs.Happiness.Recommendation,
engagement KPIs.Happiness.Recommendation.Survey responses / NPS,1
engagement KPIs.Retention,
engagement KPIs.Retention.Frequency,
engagement KPIs.Retention.Frequency.Session gap,1
engagement KPIs.Retention.Frequency.Sessions / user,1
engagement KPIs.Retention.Recency,
engagement KPIs.Retention.Recency.Users with sessions in last X days,1
engagement KPIs.Retention.Returning,
engagement KPIs.Retention.Returning.Email opt-in,1
engagement KPIs.Retention.Returning.Page revisited rate,1
engagement KPIs.Retention.Returning.Returning user # / %,1
engagement KPIs.Task success,
engagement KPIs.Task success.Effectiveness,
engagement KPIs.Task success.Effectiveness.Conversion # / %,1
engagement KPIs.Task success.Effectiveness.Funnel progress,1
engagement KPIs.Task success.Effectiveness.Intent # / %,1
engagement KPIs.Task success.Efficiency,
engagement KPIs.Task success.Efficiency.Task completion time,1
